RefID,VegID,CAS,LDfrac,J-rating,Veg Description,ClassIDPlus,Comments,Comments2
Guenther2019b,27341,8,0.1,4,Other Division vegetation,8,default other,
Guenther2019b,25816,8,0.1,4,Monocot tree,8,default monocot,
Guenther2019b,18435,8,0.1,4,Gymnosperm tree,8,default gymnosperm,
Guenther2019b,16757,8,0.1,4,Fern,8,default fern,
Guenther2019b,18435,8,0.1,4,Gymnosperm tree,8,default gymnosperm,
Guenther2019b,16757,8,0.1,4,Fern,8,default fern,
Guenther2019b,39869,8,0.1,4,Unknown vegetation,8,default unknown,
Guenther2019b,27341,8,0.1,4,Other Division vegetation,8,default other,
Guenther2019b,25816,8,0.1,4,Monocot tree,8,default monocot,
Guenther2019b,12887,8,0.1,4,Dicot tree,8,default dicot,
Guenther2019b,10079,9,0.5,4,Cool C3 Grass,9,default grass,
Guenther2019b,16757,9,0.5,4,Fern,9,default fern,
Guenther2019b,42247,9,0.5,4,Unknown shrubs,9,default shrub,
Guenther2019b,12887,9,0.5,4,Dicot tree,9,default dicot,
