EcoTypeID,VegID,CropSpecFrac
5319,GFCrop,1
5320,GFCrop,1
5321,GFCrop,1
5322,GFCrop,1
5323,GFCrop,1
5324,GFCrop,1
5325,GFCrop,1
5326,GFCrop,1
5327,GFCrop,1
5328,GFCrop,1
5329,GFCrop,1
5330,GFCrop,1
5331,GFCrop,1
5332,GFCrop,1
5333,GFCrop,1
5334,GFCrop,1
5335,GFCrop,1
5336,GFCrop,1
5337,GFCrop,1
5338,GFCrop,1
5339,GFCrop,1
5340,GFCrop,1
5341,GFCrop,1
5342,GFCrop,1
5343,GFCrop,1
5344,GFCrop,1
5345,GFCrop,1
5346,GFCrop,1
5347,GFCrop,1
5348,GFCrop,1
5349,GFCrop,1
5350,GFCrop,1
5351,GFCrop,1
5352,GFCrop,1
5353,GFCrop,1
5354,GFCrop,1
5355,GFCrop,1
5356,GFCrop,1
5357,GFCrop,1
5358,GFCrop,1
5359,GFCrop,1
5360,GFCrop,1
5361,GFCrop,1
5362,GFCrop,1
5363,GFCrop,1
5364,GFCrop,1
5365,GFCrop,1
5366,GFCrop,1
5367,GFCrop,1
5368,GFCrop,1
5369,GFCrop,1
5370,GFCrop,1
5371,GFCrop,1
5372,GFCrop,1
5373,GFCrop,1
5374,GFCrop,1
5375,GFCrop,1
5376,GFCrop,1
5377,GFCrop,1
5378,GFCrop,1
5379,GFCrop,1
5380,GFCrop,1
5381,GFCrop,1
5382,GFCrop,1
5383,GFCrop,1
5384,GFCrop,1
5385,GFCrop,1
5386,GFCrop,1
5387,GFCrop,1
5388,GFCrop,1
5389,GFCrop,1
5390,GFCrop,1
5391,GFCrop,1
5392,GFCrop,1
5393,GFCrop,1
5394,GFCrop,1
5395,GFCrop,1
5396,GFCrop,1
5397,GFCrop,1
5398,GFCrop,1
5399,GFCrop,1
5400,GFCrop,1
5401,GFCrop,1
5402,GFCrop,1
5403,GFCrop,1
5404,GFCrop,1
5405,GFCrop,1
5406,GFCrop,1
5407,GFCrop,1
5408,GFCrop,1
5409,GFCrop,1
5410,GFCrop,1
5411,GFCrop,1
